IGBP Land Cover,lc_dom_str,is_consistent,n,lfmc_mean,lfmc_std,split
Savannas,WSA,False,48,96.55902777777777,12.792095002107638,test
Woody Savannas,GRA,False,32,107.30989583333333,19.430388044470238,test
Evergreen Needleleaf Forests,WSA,False,26,101.51923076923077,12.357932847912073,test
Woody Savannas,ENF,False,11,122.72278056939393,36.85444409038126,test
Croplands | Grasslands,GRA,False,9,94.99277777777777,63.573268660612726,test
Savannas,MF,False,8,98.54145552208678,20.46208595140914,test
Evergreen Needleleaf Forests,GRA,False,6,115.91666666666667,18.955649993251793,test
Grasslands | Woody Savannas,GRA,False,5,99.35,12.100619818835728,test
Mixed Forests,ENF,False,4,148.375,51.347468292020004,test
Grasslands,ENF,False,4,116.125,26.509039338811707,test
Evergreen Broadleaf Forests,EBF,True,3,118.1983147711915,4.445034317212256,test
Savannas | Woody Savannas,ENF,False,3,137.6052222222222,15.820639895519514,test
Closed Shrublands,OSH,False,2,73.31207072853358,18.095433960335978,test
Evergreen Needleleaf Forests | Woody Savannas,ENF,False,2,153.56105467083333,49.73302028983901,test
Evergreen Needleleaf Forests | Woody Savannas,GRA,False,1,109.0,,test
Evergreen Broadleaf Forests,WSA,False,1,92.03924627623437,,test
Closed Shrublands,SAV,False,1,108.7306346139523,,test
