index,ablation,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std,ablation_desc,n_samples
10,A3_NO_FRAC_ENTROPY,CatBoost,train,17.72879971154751,0.6092683090119196,26.27908104772622,0.7494722149680244,0.7305336054071546,0.0176549551057609,remove lc_dom_frac and lc_entropy,27802
11,A3_NO_FRAC_ENTROPY,CatBoost,val,19.996357108853548,0.0719302143914781,28.19990651077844,0.0859752768454483,0.6599357114555885,0.0017710943240614,remove lc_dom_frac and lc_entropy,3575
12,A4_NO_FRAC,CatBoost,test,18.004596509524756,0.1159788198625381,25.4803927081644,0.1390677236367966,0.7369245292313312,0.0007657895619888,remove lc_dom_frac only,3290
13,A4_NO_FRAC,CatBoost,train,16.874954239495377,0.7329855019327484,25.29358096179969,0.8812009966556383,0.7546674259779161,0.0194594058042458,remove lc_dom_frac only,27802
14,A4_NO_FRAC,CatBoost,val,20.0651416628732,0.0531075864944232,28.223904054830967,0.1052399252794482,0.661068073993171,0.0034115886589997,remove lc_dom_frac only,3575
15,A5_NO_ENTROPY,CatBoost,test,18.276565826321725,0.1198305109399363,25.7389894670614,0.179875940461087,0.727640486757115,0.0039489711302953,remove lc_entropy only,3290
16,A5_NO_ENTROPY,CatBoost,train,17.07313229868228,0.431466178351706,25.53705762027954,0.5156884535548013,0.7494066705439866,0.0114201791601067,remove lc_entropy only,27802
17,A5_NO_ENTROPY,CatBoost,val,20.140707707372517,0.1211465862411026,28.290483352340534,0.1343140286213199,0.6582957662079384,0.0045932046412373,remove lc_entropy only,3575
18,A6_NO_VOD,CatBoost,test,18.07018029712591,0.1264886859682031,25.61196013315619,0.1100683082263108,0.7323858935897071,0.0014801514364895,remove all VOD features,3290
19,A6_NO_VOD,CatBoost,train,17.317129453211454,0.1235926569620652,25.75221278379705,0.1518012293234655,0.7437744868774102,0.0032690805992407,remove all VOD features,27802
20,A6_NO_VOD,CatBoost,val,20.169182736819312,0.1019776992141888,28.271192182157137,0.0795388853454231,0.6588963990821651,0.0029523308247688,remove all VOD features,3575
21,A7_NO_CORE,CatBoost,test,19.04701900570362,0.1108112978392971,26.570923187238893,0.1693462504763351,0.6965384274272174,0.0030893083032646,remove LAI/Hveg/SM/LST,3290
22,A7_NO_CORE,CatBoost,train,19.22477282959901,0.4009756603424766,28.194633121190797,0.4900918714199199,0.6806017030325332,0.0137286109496509,remove LAI/Hveg/SM/LST,27802
23,A7_NO_CORE,CatBoost,val,20.78545208521211,0.04683777443195,29.291896112204583,0.1052230446880132,0.6323528945963263,0.0014885871821551,remove LAI/Hveg/SM/LST,3575
24,A8_NO_SEASON,CatBoost,test,22.831567645710415,0.0842243005930568,32.036642520158885,0.1637068735769896,0.5539649070151009,0.0067904777410895,remove doy_sin/doy_cos/lat_norm,3290
25,A8_NO_SEASON,CatBoost,train,20.600942150699623,0.4488321927719189,30.445085443725866,0.5081958707520621,0.6209821222438167,0.0162163586536917,remove doy_sin/doy_cos/lat_norm,27802
26,A8_NO_SEASON,CatBoost,val,23.23394583040479,0.1026356100444971,32.46848547140645,0.1154929154259022,0.5351724604762151,0.0053714983187238,remove doy_sin/doy_cos/lat_norm,3575
27,A9_NO_IGBP_PROPS,CatBoost,test,18.15136414442722,0.1971877166712826,25.63059203483444,0.1351417974190221,0.7328436815711501,0.0053183741142298,remove IGBP_prop_* numeric features,3290
28,A9_NO_IGBP_PROPS,CatBoost,train,17.184139635859818,0.1565422396237663,25.676605140256957,0.1717932184493587,0.7466131985099226,0.0039700602310044,remove IGBP_prop_* numeric features,27802
29,A9_NO_IGBP_PROPS,CatBoost,val,20.159940095488448,0.0791638111481537,28.304212122344165,0.0916399635516923,0.6587507168054373,0.0024050080844118,remove IGBP_prop_* numeric features,3575
