scheme,scheme_desc,model,repeat,split,n,MAE,RMSE,R
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,MLP_deep,3,test,3290,19.15711339788234,26.436249533914175,0.6908835105371866
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,3,train,27802,19.498906422455477,27.619612994420468,0.6824134466914907
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,3,val,3575,20.456379427076218,28.24117262145182,0.6524061660647685
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,ResNetMLP,3,test,3290,19.765755840347893,26.718830397189297,0.6656382391955615
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,3,train,27802,21.144854441991548,30.26886582313393,0.6082309261842126
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,3,val,3575,20.53524385518961,28.90685326175467,0.6366764445668556
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabTransformer_base,3,test,3290,19.660518679575354,27.213008844096326,0.6778843635007362
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,3,train,27802,19.22614202731102,28.285286234463488,0.6667808882983967
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,3,val,3575,21.058137426309653,29.879165143726553,0.6042926254913853
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,FTTransformer,3,test,3290,18.68336017081078,26.55444897470058,0.6957301474535232
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,3,train,27802,18.543972451526837,27.195055626389966,0.694896050464536
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,3,val,3575,19.56173263496452,27.763427972280663,0.6738018816828787
FINAL_S6_LITE,lc_dom + VOD + LAI/Hveg/LST + doy_sin/doy_cos/lat_norm + consistency,TabNet,3,test,3290,17.698256525370127,24.82737325201902,0.7231986118227774
