index,scheme,model,split,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R_mean,R_std,n_samples
32,S4_IGBP_DOM_FE_W,LightGBM,val,18.618503892525027,0.0559639758120399,26.65210898388716,0.0727057896238671,0.530164162146335,0.0026348531047346,4831
18,S4_IGBP_DOM_FE_W,MLP,test,22.552144044373826,0.5678850987208484,31.169240603603523,0.7324079761485344,0.5401287924958093,0.0287541559999956,3524
19,S4_IGBP_DOM_FE_W,MLP,train,20.16744115028117,0.1350329982501915,28.93428362976607,0.1865860790717653,0.6309084422015275,0.0037394061442167,38836
20,S4_IGBP_DOM_FE_W,MLP,val,19.41851479484207,0.1387327933277099,28.34445584127768,0.0716065868669412,0.4295942270704955,0.0063106029876141,4831
21,S4_IGBP_DOM_FE_W,TabTransformer,test,23.16056719188928,0.772265254929497,32.447665777508654,1.0501963382822277,0.4925771789184309,0.0379425328070767,3524
22,S4_IGBP_DOM_FE_W,TabTransformer,train,20.331744513143885,0.1720384697995357,29.19039862042785,0.2803193743447216,0.6256330187310503,0.0060394096440319,38836
23,S4_IGBP_DOM_FE_W,TabTransformer,val,19.53466323505629,0.1765012739493618,28.59913827300177,0.169953476618079,0.4188251711106168,0.0077488389517676,4831
33,S4_IGBP_DOM_FE_W,XGBoost,test,20.527670700371093,0.0979419487032058,28.7149867818774,0.2205394788544782,0.6240234994085914,0.0073643688194068,3524
34,S4_IGBP_DOM_FE_W,XGBoost,train,10.457148274869992,0.0622263062684047,18.683557279063667,0.0216631272044691,0.8778529068787736,0.000292733075073,38836
35,S4_IGBP_DOM_FE_W,XGBoost,val,18.695339103730632,0.1526234023069984,26.669304570417523,0.1912607035399049,0.5270124375784583,0.0074613488802541,4831
36,S5_LC_DOM_FE_W,CatBoost,test,19.104130045354943,0.3008095031239727,27.774106568718665,0.5014761860301968,0.6526902644423294,0.0092029403047582,3944
37,S5_LC_DOM_FE_W,CatBoost,train,18.50678396393202,1.1636720900232054,27.235922657327222,1.43190190494875,0.700397488841216,0.0325684391066717,38435
38,S5_LC_DOM_FE_W,CatBoost,val,17.55938320884586,0.1709767917495766,26.07809764805505,0.2613530848935178,0.5235084479404368,0.0168381387796521,4821
39,S5_LC_DOM_FE_W,LightGBM,test,19.588732116865284,0.0807689102720929,27.84931723985032,0.1100331216378194,0.645170154025471,0.0035012445473959,3944
40,S5_LC_DOM_FE_W,LightGBM,train,12.292644679218862,0.0497719602207407,20.7258381132332,0.0433721763622862,0.8419723114284482,0.0007334695419238,38435
41,S5_LC_DOM_FE_W,LightGBM,val,18.350867104701862,0.0167870718979619,26.3065114947446,0.0611053078851909,0.5338884945478363,0.001699316707937,4821
