scheme,scheme_desc,model,repeat,split,n,MAE,RMSE,R
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,LightGBM,3,test,3524,20.59105258233076,28.96389360441625,0.6158887021050147
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,XGBoost,3,train,38836,10.57420543274798,18.81414930957331,0.8755508044312776
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,XGBoost,3,val,4831,18.77506317675574,26.68851979906781,0.5282163887968966
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,XGBoost,3,test,3524,20.833234571254252,29.031670963314955,0.6130799002552533
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,CatBoost,1,train,38836,18.908679316213487,27.772006134260465,0.6807806523624159
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,CatBoost,1,val,4831,17.893094378144006,26.38559666686545,0.5142441695654961
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,CatBoost,1,test,3524,20.051513839030108,28.792743617061547,0.625088621126662
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,LightGBM,1,train,38836,13.329413545250945,21.82761480857611,0.8211624279604062
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,LightGBM,1,val,4831,18.683116188732335,26.721784163940885,0.5275958290307454
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,LightGBM,1,test,3524,20.31081021130746,28.776524893949535,0.6221597351766348
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,XGBoost,1,train,38836,10.435828107028222,18.68906329973433,0.8779769650059722
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,XGBoost,1,val,4831,18.857989201975837,26.864319719614674,0.5197837848245985
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,XGBoost,1,test,3524,20.60557272798005,28.878228839747077,0.6184719611801952
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,CatBoost,2,train,38836,17.837468015869877,26.450107895614856,0.7125141616029467
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,CatBoost,2,val,4831,17.8921675870386,26.3101406915634,0.5262188083450009
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,CatBoost,2,test,3524,19.803134224621246,28.32011927777547,0.6376671786751565
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,LightGBM,2,train,38836,13.386881123197629,21.901895690777742,0.8198324552782205
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,LightGBM,2,val,4831,18.585246443835242,26.576710836563944,0.5328608440630036
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,LightGBM,2,test,3524,20.407065152379268,28.83472656157705,0.6202201309294593
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,XGBoost,2,train,38836,10.408384449257689,18.65967244716564,0.8780631824957229
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,XGBoost,2,val,4831,18.672772986587617,26.661560437187294,0.5265670026771901
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,XGBoost,2,test,3524,20.559720256188218,28.802633838062754,0.621220805868774
