scheme,scheme_desc,model,repeat,split,n,MAE,RMSE,R
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,TabTransformer,2,train,38836,20.990393652405427,29.936660185124385,0.6029941536371084
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,TabTransformer,2,val,4831,20.224852630845806,29.087108508427495,0.38664359251197733
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,TabTransformer,2,test,3524,23.32663746751532,32.41274869584789,0.4830392380386642
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,MLP,3,train,38836,20.055608009399425,28.95471132524448,0.6335600505036766
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,MLP,3,val,4831,19.4528772977538,28.89703178786888,0.41616258068685297
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,MLP,3,test,3524,22.53852197693642,31.35665420806117,0.5315691680291177
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,TabTransformer,3,train,38836,19.980060233645244,29.042698378990224,0.6409499464312205
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,TabTransformer,3,val,4831,19.20405331498914,28.27732615062692,0.44130305130349856
S3_IGBP_DOM_FE,dominant IGBP + frac + entropy,TabTransformer,3,test,3524,21.825485529612738,30.522204057688203,0.5589165585929005
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,MLP,1,train,38836,20.215919868519283,28.969796271674202,0.6282067661246116
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,MLP,1,val,4831,19.531603349856624,28.42685658366873,0.42654452265839204
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,MLP,1,test,3524,22.767051622356107,31.455310765738947,0.5314274161322002
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,TabTransformer,1,train,38836,20.21024995223294,29.163508958616834,0.6278483427433712
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,TabTransformer,1,val,4831,19.33235394330381,28.501100018547525,0.42181340053243255
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,TabTransformer,1,test,3524,23.208064500644177,32.344715086881415,0.49375031486711446
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,MLP,2,train,38836,20.27154224084548,29.100561284213022,0.6293422838236401
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,MLP,2,val,4831,19.460230488778148,28.297331660261925,0.42538774546002767
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,MLP,2,test,3524,22.981211023893582,31.715440127208158,0.5167303180901374
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,TabTransformer,2,train,38836,20.25637956474846,28.924493024094048,0.6302519371607828
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,TabTransformer,2,val,4831,19.614465771933517,28.500931180715373,0.42463498471208827
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,TabTransformer,2,test,3524,22.365649536438074,31.452736222501205,0.5299195393477565
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,MLP,3,train,38836,20.01486134147875,28.732493333410982,0.6351762766563308
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,MLP,3,val,4831,19.26371054589144,28.309179279902402,0.43685041309306694
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,MLP,3,test,3524,21.908169486871778,30.336970917863457,0.5722286432650904
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,TabTransformer,3,train,38836,20.52860402245025,29.48319387857266,0.6187987762889968
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,TabTransformer,3,val,4831,19.657169989931536,28.795383619742427,0.4100271280873295
S4_IGBP_DOM_FE_W,dominant IGBP + frac + entropy + weight,TabTransformer,3,test,3524,23.907987538585598,33.54554602314333,0.45406168254042184
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,MLP,1,train,38435,20.02637072672099,28.883257909424586,0.6435842198432904
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,MLP,1,val,4821,19.5239584435568,28.018896764209423,0.44300625501812857
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,MLP,1,test,3944,20.78408876466461,29.557991660178054,0.5833259824412461
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,TabTransformer,1,train,38435,20.35061666454034,29.287598111136536,0.6323755238995346
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,TabTransformer,1,val,4821,19.96000290589569,28.59066311709757,0.42097748241735783
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,TabTransformer,1,test,3944,21.496855428446136,30.413349214074433,0.5556116679794278
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,MLP,2,train,38435,20.334235882842837,29.335023744723248,0.631874728072283
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,MLP,2,val,4821,20.348076348976335,29.09590844533985,0.39987407756153504
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,MLP,2,test,3944,21.072583501527564,29.75213836972438,0.575833089362858
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,TabTransformer,2,train,38435,20.19769460306035,29.178947823042762,0.63163159343722
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,TabTransformer,2,val,4821,19.574291946531407,28.22690960463306,0.4246379707306599
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,TabTransformer,2,test,3944,21.017239109497766,29.846431571252072,0.574944351372702
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,MLP,3,train,38435,19.175347139479605,28.084296248158942,0.6732499668636267
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,MLP,3,val,4821,19.193602054550844,27.65729734387637,0.4770869778754882
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,MLP,3,test,3944,20.45813755500631,28.98942038974792,0.6086287809521143
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,TabTransformer,3,train,38435,19.850035798845852,28.61131748983657,0.6456540058873472
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,TabTransformer,3,val,4821,19.46459525701194,28.04171608132995,0.4462848394271114
S5_LC_DOM_FE_W,dominant LC + frac + entropy + weight,TabTransformer,3,test,3944,20.757966080495358,29.687210000845216,0.5811129108929303
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,MLP,1,train,27802,20.497055897471906,29.334965068525236,0.6365696385036186
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,MLP,1,val,3575,20.798640613155765,29.136517450407528,0.6276296964890252
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,MLP,1,test,3290,19.3983565620376,26.7014521239909,0.6824442758030086
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,TabTransformer,1,train,27802,20.813593120894307,29.7406757672819,0.6263405570703825
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,TabTransformer,1,val,3575,20.666622280841107,29.051169203367262,0.6307086246867121
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,TabTransformer,1,test,3290,19.497264818869827,27.061296813172625,0.6862366521848161
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,MLP,2,train,27802,19.855639710708296,28.697375930915822,0.6551692813663434
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,MLP,2,val,3575,20.524894530289657,28.719038837111572,0.63994182363173
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,MLP,2,test,3290,18.884622721976424,26.312829650120673,0.7009344914406426
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,TabTransformer,2,train,27802,21.056124392048712,29.937377633379,0.6171324930603517
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,TabTransformer,2,val,3575,20.757289514608317,29.185588350285652,0.6258655768353399
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,TabTransformer,2,test,3290,19.863125666876332,27.263380322298275,0.670344510514279
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,MLP,3,train,27802,19.790223472479067,28.372632754257598,0.6608706353786062
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,MLP,3,val,3575,20.61422534169017,28.681091669919894,0.6411079229829173
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,MLP,3,test,3290,18.97029510863284,26.366105610397035,0.6905053647863458
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,TabTransformer,3,train,27802,20.8337663149338,29.659696418657955,0.62463425755696
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,TabTransformer,3,val,3575,20.699337939815923,28.94657239267221,0.6320713133369819
S6_LC_DOM_FE_W_CONS,dominant LC + frac + entropy + weight + consistency,TabTransformer,3,test,3290,19.337679027279098,26.808290784302482,0.6880161804495833
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,MLP,1,train,26354,20.39040013436004,29.221709748644095,0.6375885006897317
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,MLP,1,val,2913,21.454974627928596,30.013860105969535,0.6655810546999665
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,MLP,1,test,3085,20.26424763801612,28.996995465548302,0.6545564720458912
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,TabTransformer,1,train,26354,21.158045643756665,30.090835957408338,0.602375784549142
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,TabTransformer,1,val,2913,22.118784899569196,30.617874395430636,0.6629362141540397
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,TabTransformer,1,test,3085,20.461774377498287,29.048011874382226,0.6546204452257872
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,MLP,2,train,26354,21.123641910751644,30.046920984670546,0.6049664453127735
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,MLP,2,val,2913,22.056123663459985,30.740527137931487,0.6561184901230561
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,MLP,2,test,3085,20.26932845494349,28.95000747127981,0.6503431125720566
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,TabTransformer,2,train,26354,21.438342509351497,30.48944893934574,0.5923696265883128
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,TabTransformer,2,val,2913,22.27238359199207,31.115659839688853,0.6542869039801421
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,TabTransformer,2,test,3085,20.33798974622977,29.04607836633872,0.6590062631850798
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,MLP,3,train,26354,20.865569080750625,29.448784042941075,0.6118400453133289
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,MLP,3,val,2913,22.300368239942628,30.504044194668268,0.6575243379689291
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,MLP,3,test,3085,20.365569405269778,28.50071491027433,0.6540343205955873
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,TabTransformer,3,train,26354,20.886557596202252,29.688652063748286,0.6176064566162666
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,TabTransformer,3,val,2913,21.632298775649012,30.14345270475595,0.6672289815991047
S7_LC_DOM_FE_W_CONS_NV,dominant LC + frac + entropy + weight + consistency + nonveg filter,TabTransformer,3,test,3085,20.013369384654336,28.60297124079772,0.6653612479179543
